Day,Day Of Year (Day),Start Time of Day (hr),Start Time of Year (hr),Fixture,Modified Mains Temperature (deg F),Duration (min),Fraction Hot Water,Modified Hot Water Flow Rate (gal/min),Modified Hot Water Volume (gal),Setpoint_WaterHeater,Default Mains Temperature (deg F),Default Hot Water Flow Rate (gal/min),Default Hot Water Volume (gal)
4.00E+01,65,0.35,1560.35,FAUC,55,0.5,0.5,0.266363981,0.133181991,125,40.3135,0.220170614,0.110085307
4.00E+01,65,0.37,1560.37,FAUC,55,0.333,0.5,0.254329465,0.084691712,125,40.3135,0.210223147,0.070004308
4.00E+01,65,0.73,1560.73,FAUC,55,0.333,0.5,0.563215407,0.18755073,125,40.3135,0.465541479,0.155025313
4.00E+01,65,2.97,1562.97,SHWR,55,9.333,0.76383485,1.480586595,13.81831469,125,40.3135,1.223820345,11.42191528
4.00E+01,65,3.23,1563.23,FAUC,55,0.5,0.5,0.59370285,0.296851425,125,40.3135,0.49074173,0.245370865
4.00E+01,65,3.35,1563.35,FAUC,55,0.333,0.5,0.527111855,0.175528248,125,40.3135,0.435699077,0.145087792
4.00E+01,65,6.07,1566.07,FAUC,55,0.167,0.5,0.218225913,0.036443727,125,40.3135,0.180380744,0.030123584
4.00E+01,65,6.87,1566.87,FAUC,55,0.167,0.5,0.218225913,0.036443727,125,40.3135,0.180380744,0.030123584
4.00E+01,65,7.5,1567.5,FAUC,55,0.167,0.5,0.218225913,0.036443727,125,40.3135,0.180380744,0.030123584
4.00E+01,65,8.01,1568.01,FAUC,55,0.833,0.5,0.951529163,0.792623793,125,40.3135,0.786513097,0.65516541
4.00E+01,65,8.07,1568.07,FAUC,55,1.667,0.5,0.283212306,0.472114914,125,40.3135,0.234097069,0.390239813
4.00E+01,65,8.13,1568.13,FAUC,55,0.667,0.5,0.835195497,0.557075396,125,40.3135,0.690354245,0.460466281
4.00E+01,65,8.15,1568.15,FAUC,55,1.833,0.5,0.610551175,1.119140304,125,40.3135,0.504668185,0.925056782
