Day,Day Of Year (Day),Start Time of Day (hr),Start Time of Year (hr),Fixture,Mains Temperature (deg F),Duration (min),Fraction Hot Water,Hot Water Flow Rate (gal/min),Hot Water Volume (gal),Setpoint_WaterHeater
1H1,1,5.93,5.93,FAUC,53.3035,1.667,0.5,0.842787136,1.404926156,125
1H1,1,6.48,6.48,FAUC,53.3035,0.167,0.5,0.278320951,0.046479599,125
1H1,1,7.07,7.07,FAUC,53.3035,0.167,0.5,0.253171467,0.042279635,125
1H1,1,7.08,7.08,FAUC,53.3035,0.833,0.5,0.561671798,0.467872608,125
1H1,1,7.23,7.23,FAUC,53.3035,0.667,0.5,0.468339271,0.312382294,125
1H1,1,7.28,7.28,FAUC,53.3035,0.333,0.5,0.45548509,0.151676535,125
1H1,1,7.31,7.31,FAUC,53.3035,0.167,0.5,0.329178795,0.054972859,125
1H1,1,7.67,7.67,FAUC,53.3035,0.833,0.5,1.184261234,0.986489608,125
1H1,1,7.95,7.95,FAUC,53.3035,0.333,0.5,0.480634574,0.160051313,125
1H1,1,8.16,8.16,FAUC,53.3035,0.5,0.5,0.354328279,0.177164139,125
1H1,1,8.25,8.25,FAUC,53.3035,1.5,0.5,0.950091599,1.425137399,125
1H1,1,9.33,9.33,FAUC,53.3035,0.167,0.5,0.531492418,0.088759234,125
1H1,1,9.87,9.87,FAUC,53.3035,0.167,0.5,0.430335607,0.071866046,125
1H1,1,11.29,11.29,FAUC,53.3035,0.167,0.5,0.253171467,0.042279635,125
1H1,1,11.73,11.73,FAUC,53.3035,0.167,0.5,0.379477762,0.063372786,125
1H1,1,11.97,11.97,FAUC,53.3035,0.333,0.5,0.291175131,0.096961319,125
1H1,1,12.14,12.14,FAUC,53.3035,0.667,0.5,0.936119664,0.624391816,125
1H1,1,12.52,12.52,FAUC,53.3035,0.167,0.5,0.227463106,0.037986339,125
1H1,1,12.53,12.53,FAUC,53.3035,1,0.5,0.611411888,0.611411888,125
1H1,1,12.55,12.55,FAUC,53.3035,1,0.5,0.497400896,0.497400896,125
1H1,1,12.58,12.58,FAUC,53.3035,0.167,0.5,0.581791385,0.097159161,125
1H1,1,12.59,12.59,FAUC,53.3035,0.833,0.5,0.597439953,0.497667481,125
1H1,1,14.45,14.45,FAUC,53.3035,0.333,0.5,0.771809705,0.257012632,125
1H1,1,16.06,16.06,FAUC,53.3035,0.333,0.5,0.531492418,0.176986975,125
1H1,1,17.13,17.13,FAUC,53.3035,0.167,0.5,0.278320951,0.046479599,125
1H1,1,17.15,17.15,FAUC,53.3035,0.667,0.5,0.974123328,0.64974026,125
1H1,1,17.17,17.17,FAUC,53.3035,0.167,0.5,0.303470434,0.050679563,125
1H1,1,17.21,17.21,FAUC,53.3035,0.167,0.5,0.329178795,0.054972859,125
1H1,1,17.53,17.53,FAUC,53.3035,0.333,0.5,0.379477762,0.126366095,125
1H1,1,20.04,20.04,FAUC,53.3035,1.5,0.5,0.6605931,0.99088965,125
1D3,2,6.22,30.22,FAUC,53.3405,0.333,0.5,0.515284973,0.171589896,125
1D3,2,6.37,30.37,FAUC,53.3405,0.167,0.5,0.354328279,0.059172823,125
1D3,2,6.83,30.83,FAUC,53.3405,0.333,0.5,0.225227597,0.07500079,125
1D3,2,7.05,31.05,FAUC,53.3405,0.167,0.5,1.44861025,0.241917912,125
1D3,2,7.07,31.07,SHWR,53.3405,4.167,0.720902323,1.040277534,4.334836483,125
1D3,2,7.17,31.17,FAUC,53.3405,0.167,0.5,0.289498499,0.048346249,125
1D3,2,7.17,31.17,FAUC,53.3405,2.167,0.5,0.158721185,0.343948807,125
1D3,2,8.3,32.3,SHWR,53.3405,11.333,0.720902323,1.446396726,16.39201409,125
1D3,2,8.53,32.53,FAUC,53.3405,1.333,0.5,0.366064704,0.487964251,125
1D3,2,8.56,32.56,FAUC,53.3405,0.833,0.5,0.367182459,0.305862989,125
1D3,2,8.83,32.83,FAUC,53.3405,0.167,0.5,0.193371584,0.032293055,125
1D3,2,9.05,33.05,FAUC,53.3405,0.333,0.5,0.418599181,0.139393527,125
1D3,2,11.02,35.02,FAUC,53.3405,0.167,0.5,0.386184291,0.064492777,125
1D3,2,11.02,35.02,FAUC,53.3405,0.333,0.5,0.643826778,0.214394317,125
1D3,2,11.05,35.05,FAUC,53.3405,0.167,0.5,0.354328279,0.059172823,125
1D3,2,12.09,36.09,FAUC,53.3405,0.167,0.5,0.386184291,0.064492777,125
1D3,2,12.1,36.1,FAUC,53.3405,4.167,0.5,1.007097095,4.196573595,125
1D3,2,12.18,36.18,FAUC,53.3405,0.667,0.5,1.022186785,0.681798586,125
1D3,2,12.23,36.23,FAUC,53.3405,2.5,0.5,0.489576612,1.223941531,125
1D3,2,13.65,37.65,FAUC,53.3405,0.333,0.5,0.321913389,0.107197158,125
1D3,2,13.74,37.74,FAUC,53.3405,0.167,0.5,0.450455193,0.075226017,125
1D3,2,16.57,40.57,FAUC,53.3405,0.333,0.5,0.70809768,0.235796527,125
1D3,2,16.76,40.76,FAUC,53.3405,0.167,0.5,0.547140986,0.091372545,125
1D3,2,16.93,40.93,FAUC,53.3405,0.333,0.5,0.369976846,0.12320229,125
1D3,2,17.28,41.28,FAUC,53.3405,0.167,0.5,0.611411888,0.102105785,125
1D3,2,17.35,41.35,FAUC,53.3405,0.167,0.5,0.289498499,0.048346249,125
1D3,2,17.79,41.79,FAUC,53.3405,0.333,0.5,0.193371584,0.064392738,125
1D3,2,21.02,45.02,FAUC,53.3405,0.333,0.5,0.482870083,0.160795738,125
3.00E+02,3,2.71,50.71,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,3.75,51.75,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,4.81,52.81,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,4.87,52.87,FAUC,53.266,0.333,0.5,1.1009885,0.366629171,125
3.00E+02,3,5.39,53.39,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,6.55,54.55,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,6.67,54.67,FAUC,53.266,0.167,0.5,0.126306295,0.021093151,125
3.00E+02,3,6.9,54.9,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,7.2,55.2,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,7.43,55.43,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,7.56,55.56,FAUC,53.266,1.167,0.5,0.336444202,0.392630383,125
3.00E+02,3,8.13,56.13,FAUC,53.266,0.167,0.5,0.126306295,0.021093151,125
3.00E+02,3,8.13,56.13,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,8.19,56.19,FAUC,53.266,6.5,0.5,0.346503995,2.252275967,125
3.00E+02,3,8.36,56.36,FAUC,53.266,0.5,0.5,0.682948197,0.341474098,125
3.00E+02,3,9.49,57.49,FAUC,53.266,0.667,0.5,0.329178795,0.219562256,125
3.00E+02,3,9.53,57.53,FAUC,53.266,1.333,0.5,0.559995166,0.746473556,125
3.00E+02,3,9.71,57.71,FAUC,53.266,0.333,0.5,0.278320951,0.092680877,125
3.00E+02,3,10.07,58.07,FAUC,53.266,0.5,0.5,0.253171467,0.126585734,125
3.00E+02,3,10.77,58.77,FAUC,53.266,0.833,0.5,0.283350848,0.236031256,125
3.00E+02,3,10.79,58.79,FAUC,53.266,0.167,0.5,0.506342935,0.08455927,125
3.00E+02,3,10.8,58.8,FAUC,53.266,0.667,0.5,0.329178795,0.219562256,125
3.00E+02,3,10.82,58.82,FAUC,53.266,8,0.5,0.316324615,2.530596918,125
3.00E+02,3,11.01,59.01,FAUC,53.266,0.167,0.5,0.278320951,0.046479599,125
3.00E+02,3,11.05,59.05,FAUC,53.266,0.167,0.5,0.303470434,0.050679563,125
3.00E+02,3,11.09,59.09,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,11.13,59.13,FAUC,53.266,0.667,0.5,0.411333775,0.274359628,125
3.00E+02,3,11.22,59.22,FAUC,53.266,0.833,0.5,0.202313623,0.168527248,125
3.00E+02,3,11.32,59.32,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,11.88,59.88,FAUC,53.266,0.333,0.5,0.240317287,0.080025657,125
3.00E+02,3,11.89,59.89,FAUC,53.266,0.167,0.5,0.227463106,0.037986339,125
3.00E+02,3,12.09,60.09,FAUC,53.266,1,0.5,0.641032391,0.641032391,125
3.00E+02,3,12.23,60.23,FAUC,53.266,0.5,0.5,0.733806041,0.36690302,125
3.00E+02,3,12.24,60.24,FAUC,53.266,0.333,0.5,0.594645566,0.198016973,125
3.00E+02,3,12.31,60.31,BATH,53.266,2.667,0.721192182,3.858877482,10.29162624,125
3.00E+02,3,12.44,60.44,FAUC,53.266,0.833,0.5,0.758955524,0.632209952,125
3.00E+02,3,12.48,60.48,FAUC,53.266,0.333,0.5,0.581791385,0.193736531,125
3.00E+02,3,12.49,60.49,FAUC,53.266,0.167,0.5,0.227463106,0.037986339,125
3.00E+02,3,12.63,60.63,FAUC,53.266,1.667,0.5,0.650533307,1.084439022,125
3.00E+02,3,12.85,60.85,SHWR,53.266,7.667,0.721192182,1.2212658,9.363444889,125
3.00E+02,3,13.13,61.13,FAUC,53.266,0.167,0.5,0.303470434,0.050679563,125
3.00E+02,3,13.34,61.34,FAUC,53.266,3.167,0.5,0.647180042,2.049619194,125
3.00E+02,3,13.4,61.4,FAUC,53.266,1.167,0.5,0.448219684,0.523072371,125
3.00E+02,3,13.95,61.95,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,14.33,62.33,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,14.39,62.39,FAUC,53.266,0.167,0.5,0.202313623,0.033786375,125
3.00E+02,3,14.53,62.53,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,14.99,62.99,FAUC,53.266,1,0.5,0.569496082,0.569496082,125
3.00E+02,3,15.01,63.01,FAUC,53.266,0.167,0.5,0.303470434,0.050679563,125
3.00E+02,3,15.08,63.08,FAUC,53.266,0.5,0.5,0.556641902,0.278320951,125
3.00E+02,3,15.29,63.29,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,15.41,63.41,FAUC,53.266,0.167,0.5,0.354328279,0.059172823,125
3.00E+02,3,15.77,63.77,FAUC,53.266,0.167,0.5,0.126306295,0.021093151,125
3.00E+02,3,16.27,64.27,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,21.39,69.39,FAUC,53.266,0.333,0.5,0.215167803,0.071650879,125
3.00E+02,3,21.49,69.49,FAUC,53.266,0.833,0.5,0.283350848,0.236031256,125
3.00E+02,3,21.81,69.81,FAUC,53.266,0.167,0.5,0.202313623,0.033786375,125
3.00E+02,3,21.83,69.83,FAUC,53.266,2.5,0.5,0.231375248,0.578438121,125
3.00E+02,3,21.88,69.88,FAUC,53.266,0.5,0.5,0.801430208,0.400715104,125
3.00E+02,3,23.34,71.34,FAUC,53.266,0.167,0.5,0.152014656,0.025386448,125
3.00E+02,3,23.35,71.35,FAUC,53.266,1.333,0.5,0.249818203,0.333007664,125
3.00E+02,3,23.39,71.39,FAUC,53.266,0.167,0.5,0.278320951,0.046479599,125
1.00E+01,4,6.67,78.67,FAUC,53.1565,0.667,0.5,0.52255038,0.348541103,125
1.00E+01,4,6.73,78.73,SHWR,53.1565,7.5,0.721617126,0.742870332,5.571527489,125
1.00E+01,4,7.02,79.02,FAUC,53.1565,0.333,0.5,0.316324615,0.105336097,125
1.00E+01,4,7.28,79.28,FAUC,53.1565,0.5,0.5,0.568378327,0.284189164,125
1.00E+01,4,7.36,79.36,FAUC,53.1565,0.167,0.5,0.52255038,0.087265913,125
1.00E+01,4,7.39,79.39,FAUC,53.1565,0.167,0.5,0.357681543,0.059732818,125
1.00E+01,4,7.43,79.43,FAUC,53.1565,0.167,0.5,0.247582693,0.04134631,125
1.00E+01,4,7.58,79.58,FAUC,53.1565,0.333,0.5,0.41245153,0.137346359,125
1.00E+01,4,7.98,79.98,FAUC,53.1565,0.167,0.5,0.274967686,0.045919604,125
1.00E+01,4,8.01,80.01,FAUC,53.1565,0.167,0.5,0.2201977,0.036773016,125
1.00E+01,4,8.01,80.01,FAUC,53.1565,0.667,0.5,0.584585772,0.38991871,125
1.00E+01,4,8.25,80.25,FAUC,53.1565,0.167,0.5,0.247582693,0.04134631,125
1.00E+01,4,8.52,80.52,FAUC,53.1565,0.333,0.5,0.247582693,0.082445037,125
1.00E+01,4,10.38,82.38,FAUC,53.1565,0.333,0.5,0.508578444,0.169356622,125
1.00E+01,4,10.75,82.75,FAUC,53.1565,4,0.5,1.011568114,4.046272457,125
1.00E+01,4,10.82,82.82,FAUC,53.1565,2.167,0.5,0.757278892,1.641023359,125
1.00E+01,4,10.86,82.86,FAUC,53.1565,3.833,0.5,0.625383823,2.397096194,125
1.00E+01,4,10.88,82.88,FAUC,53.1565,0.5,0.5,0.48566447,0.242832235,125
1.00E+01,4,10.92,82.92,FAUC,53.1565,0.167,0.5,0.467221516,0.078025993,125
1.00E+01,4,10.93,82.93,FAUC,53.1565,0.333,0.5,0.426423465,0.141999014,125
1.00E+01,4,10.94,82.94,FAUC,53.1565,0.333,0.5,0.563907308,0.187781134,125
1.00E+01,4,11.06,83.06,FAUC,53.1565,0.167,0.5,0.247582693,0.04134631,125
1.00E+01,4,11.11,83.11,FAUC,53.1565,0.333,0.5,0.385066536,0.128227157,125
1.00E+01,4,11.12,83.12,FAUC,53.1565,0.667,0.5,0.41245153,0.27510517,125
1.00E+01,4,11.14,83.14,FAUC,53.1565,0.167,0.5,0.439836523,0.073452699,125
1.00E+01,4,11.17,83.17,FAUC,53.1565,0.333,0.5,0.288939622,0.096216894,125
1.00E+01,4,11.18,83.18,FAUC,53.1565,0.167,0.5,0.2201977,0.036773016,125
1.00E+01,4,11.21,83.21,FAUC,53.1565,0.5,0.5,0.339238589,0.169619294,125
1.00E+01,4,11.74,83.74,CWSH,53.1565,3.5,0.22,0.365908219,1.280678765,125
1.00E+01,4,11.81,83.81,CWSH,53.1565,0.5,0.22,0.27467707,0.137338535,125
1.00E+01,4,11.93,83.93,FAUC,53.1565,0.5,0.5,0.52255038,0.26127519,125
1.00E+01,4,11.98,83.98,FAUC,53.1565,0.333,0.5,0.302352679,0.100683442,125
1.00E+01,4,11.99,83.99,FAUC,53.1565,0.167,0.5,0.2201977,0.036773016,125
1.00E+01,4,12,84,FAUC,53.1565,0.333,0.5,0.164868836,0.054901322,125
1.00E+01,4,12.02,84.02,FAUC,53.1565,0.167,0.5,0.439836523,0.073452699,125
1.00E+01,4,12.04,84.04,FAUC,53.1565,0.167,0.5,0.164868836,0.027533096,125
1.00E+01,4,12.05,84.05,FAUC,53.1565,0.167,0.5,0.164868836,0.027533096,125
1.00E+01,4,12.07,84.07,FAUC,53.1565,0.167,0.5,0.247582693,0.04134631,125
1.00E+01,4,12.09,84.09,CWSH,53.1565,5.667,0.22,0.298775864,1.693162822,125
1.00E+01,4,12.2,84.2,FAUC,53.1565,0.333,0.5,0.63264923,0.210672193,125
1.00E+01,4,12.21,84.21,FAUC,53.1565,0.167,0.5,0.824903059,0.137758811,125
1.00E+01,4,12.22,84.22,FAUC,53.1565,0.167,0.5,0.329737673,0.055066191,125
1.00E+01,4,12.44,84.44,FAUC,53.1565,0.333,0.5,0.302352679,0.100683442,125
1.00E+01,4,12.99,84.99,FAUC,53.1565,0.333,0.5,0.453808458,0.151118216,125
1.00E+01,4,15.86,87.86,FAUC,53.1565,0.167,0.5,0.2201977,0.036773016,125
1.00E+01,4,17.46,89.46,CWSH,53.1565,3.333,0.22,0.386318422,1.2875993,125
1.00E+01,4,17.55,89.55,CWSH,53.1565,0.667,0.22,0.235578006,0.15713053,125
1.00E+01,4,17.79,89.79,CWSH,53.1565,1.167,0.22,0.26533264,0.309643191,125
1.00E+01,4,17.83,89.83,CWSH,53.1565,4.333,0.22,0.313038416,1.356395455,125
1.00E+01,4,18.76,90.76,FAUC,53.1565,0.333,0.5,0.467221516,0.155584765,125
1.00E+01,4,18.92,90.92,FAUC,53.1565,0.667,0.5,0.268261157,0.178930192,125
1.00E+01,4,18.98,90.98,FAUC,53.1565,0.167,0.5,0.164868836,0.027533096,125
1.00E+01,4,19.04,91.04,FAUC,53.1565,0.333,0.5,0.329737673,0.109802645,125
1.00E+01,4,19.16,91.16,FAUC,53.1565,0.167,0.5,0.495165386,0.08269262,125
1.00E+01,4,19.61,91.61,FAUC,53.1565,0.167,0.5,0.329737673,0.055066191,125
1.00E+01,4,19.66,91.66,FAUC,53.1565,0.167,0.5,0.274967686,0.045919604,125
1.00E+01,4,19.67,91.67,FAUC,53.1565,0.167,0.5,0.357681543,0.059732818,125
1.00E+01,4,19.72,91.72,FAUC,53.1565,0.167,0.5,0.164868836,0.027533096,125
1.00E+01,4,20.88,92.88,FAUC,53.1565,0.167,0.5,0.164868836,0.027533096,125
1.00E+01,4,20.92,92.92,FAUC,53.1565,0.333,0.5,0.385066536,0.128227157,125
1.00E+01,4,21.14,93.14,FAUC,53.1565,1,0.5,0.105627831,0.105627831,125
1.00E+01,4,21.15,93.15,FAUC,53.1565,0.167,0.5,0.137483843,0.022959802,125
1.00E+01,4,21.16,93.16,FAUC,53.1565,0.167,0.5,0.164868836,0.027533096,125
1D5,5,2.71,98.71,FAUC,53.071,0.167,0.5,0.385066536,0.064306112,125
1D5,5,3.39,99.39,FAUC,53.071,1.667,0.5,0.019001832,0.031676054,125
1D5,5,7.99,103.99,FAUC,53.071,0.167,0.5,0.439836523,0.073452699,125
1D5,5,8.99,104.99,FAUC,53.071,1.333,0.5,0.573967101,0.765098146,125
1D5,5,9.07,105.07,FAUC,53.071,1,0.5,0.352651646,0.352651646,125
1D5,5,9.22,105.22,FAUC,53.071,1,0.5,0.178840772,0.178840772,125
1D5,5,10.26,106.26,FAUC,53.071,0.5,0.5,0.540993334,0.270496667,125
1D5,5,10.27,106.27,FAUC,53.071,0.167,0.5,0.164868836,0.027533096,125
1D5,5,10.62,106.62,FAUC,53.071,0.333,0.5,0.233610758,0.077792382,125
1D5,5,11.04,107.04,FAUC,53.071,1,0.5,0.426423465,0.426423465,125
1D5,5,11.06,107.06,FAUC,53.071,0.333,0.5,0.371094601,0.123574502,125
1D5,5,11.25,107.25,FAUC,53.071,0.667,0.5,0.288939622,0.192722728,125
1D5,5,11.28,107.28,FAUC,53.071,0.5,0.5,0.458279477,0.229139739,125
1D5,5,14.21,110.21,FAUC,53.071,0.333,0.5,0.302352679,0.100683442,125
1D5,5,14.23,110.23,FAUC,53.071,0.333,0.5,0.288939622,0.096216894,125
1D5,5,14.26,110.26,FAUC,53.071,0.667,0.5,0.130777314,0.087228469,125
1D5,5,14.54,110.54,CWSH,53.071,3.167,0.22,0.241479752,0.764766374,125
1D5,5,15.22,111.22,FAUC,53.071,0.333,0.5,0.439836523,0.146465562,125
1D5,5,15.33,111.33,FAUC,53.071,0.333,0.5,0.233610758,0.077792382,125
1D5,5,15.42,111.42,CWSH,53.071,0.667,0.22,0.375006743,0.250129498,125
1D5,5,15.43,111.43,FAUC,53.071,0.167,0.5,0.137483843,0.022959802,125
1D5,5,15.56,111.56,CWSH,53.071,3.5,0.22,0.333202713,1.166209494,125
1D5,5,15.72,111.72,CWSH,53.071,0.333,0.22,0.264594922,0.088110109,125
1D5,5,15.72,111.72,FAUC,53.071,0.167,0.5,0.137483843,0.022959802,125
1D5,5,15.73,111.73,CWSH,53.071,0.333,0.22,0.252299619,0.084015773,125
1D5,5,16.02,112.02,CWSH,53.071,2.333,0.22,0.324841907,0.757856168,125
1D5,5,16.06,112.06,FAUC,53.071,0.833,0.5,0.032973767,0.027467148,125
1D5,5,16.17,112.17,FAUC,53.071,1.5,0.5,0.424746833,0.637120249,125
1D5,5,16.76,112.76,FAUC,53.071,0.333,0.5,0.316324615,0.105336097,125
1D5,5,17.9,113.9,FAUC,53.071,0.333,0.5,0.233610758,0.077792382,125
1D5,5,17.91,113.91,FAUC,53.071,0.167,0.5,0.41245153,0.068879405,125
1D5,5,18.72,114.72,FAUC,53.071,1.167,0.5,0.546023231,0.63720911,125
1D5,5,19.94,115.94,FAUC,53.071,0.167,0.5,0.2201977,0.036773016,125
1D5,5,19.94,115.94,FAUC,53.071,0.167,0.5,0.137483843,0.022959802,125
1D5,5,20.07,116.07,FAUC,53.071,0.167,0.5,0.302352679,0.050492897,125
1D5,5,20.81,116.81,FAUC,53.071,0.333,0.5,0.63264923,0.210672193,125
1D5,5,20.87,116.87,FAUC,53.071,2.667,0.5,0.601352095,1.603806036,125
1D5,5,22.25,118.25,FAUC,53.071,1,0.5,0.316324615,0.316324615,125
1D5,5,22.27,118.27,FAUC,53.071,0.167,0.5,0.137483843,0.022959802,125
1D5,5,22.27,118.27,FAUC,53.071,0.333,0.5,0.508578444,0.169356622,125
1D5,5,22.28,118.28,FAUC,53.071,0.333,0.5,0.535963437,0.178475825,125
1D5,5,22.29,118.29,FAUC,53.071,0.333,0.5,0.343709608,0.114455299,125
1D5,5,22.85,118.85,FAUC,53.071,0.333,0.5,0.535963437,0.178475825,125
1D5,5,22.95,118.95,FAUC,53.071,0.333,0.5,0.343709608,0.114455299,125
1D5,5,22.99,118.99,FAUC,53.071,0.333,0.5,0.260995751,0.086911585,125
1D2,6,7.25,127.25,FAUC,52.968,0.333,0.5,0.667858506,0.222396883,125
1D2,6,7.28,127.28,FAUC,52.968,0.5,0.5,0.570613837,0.285306918,125
1D2,6,7.35,127.35,FAUC,52.968,0.333,0.5,0.464427129,0.154654234,125
1D2,6,8.37,128.37,FAUC,52.968,0.333,0.5,0.377242253,0.12562167,125
1D2,6,8.41,128.41,FAUC,52.968,0.333,0.5,0.493488754,0.164331755,125
1D2,6,8.43,128.43,FAUC,52.968,0.667,0.5,0.36271144,0.24192853,125
1D2,6,8.45,128.45,FAUC,52.968,1.667,0.5,0.559995166,0.933511942,125
1D2,6,8.67,128.67,FAUC,52.968,0.333,0.5,0.537081192,0.178848037,125
1D2,6,8.72,128.72,FAUC,52.968,0.667,0.5,0.413569284,0.275850713,125
