Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),LIVING_1:Zone Mean Air Temperature [C](Hourly),LIVING_1:Zone Mean Air Dewpoint Temperature [C](Hourly),FINISHEDBASEMENT_1:Zone Mean Air Temperature [C](Hourly),FINISHEDBASEMENT_1:Zone Mean Air Dewpoint Temperature [C](Hourly),GARAGE:Zone Mean Air Temperature [C](Hourly),GARAGE:Zone Mean Air Dewpoint Temperature [C](Hourly),WATER HEATER_1:Water Heater Use Side Mass Flow Rate [kg/s](Hourly),WATER HEATER_1:Water Heater Use Side Inlet Temperature [C](Hourly),WATER HEATER_1:Water Heater Heating Energy [J](Hourly)
 01/01  01:00:00,-15.35,-15.86955912,7.090712562,21.66650005,-9.997493105,20.86472902,-12.27461067,-0.845818406,-19.52393173,0.000147706,7.090712562,0
 01/01  02:00:00,-15.89166667,-16.36616696,7.090712562,21.66645085,-10.0456583,20.56660863,-12.28442134,-0.940804048,-19.54523684,0,7.090712562,0
 01/01  03:00:00,-16.45,-16.87100667,7.090712562,21.66644361,-10.054672,20.37986318,-12.2522728,-1.362407852,-19.53053696,0,7.090712562,0
 01/01  04:00:00,-16.99166667,-17.3720669,7.090712562,21.66643586,-10.07015047,20.25687236,-12.22685961,-1.825736985,-19.52445967,0,7.090712562,0
 01/01  05:00:00,-17.55,-17.91374792,7.090712562,21.66642536,-10.08846864,20.19643476,-12.19944959,-2.304756469,-19.5199214,0,7.090712562,0
 01/01  06:00:00,-18.09166667,-18.40111777,7.090712562,21.66641977,-10.10442381,20.15854564,-12.16731205,-2.768436634,-19.51416097,0,7.090712562,1494928.313
 01/01  07:00:00,-18.65,-18.95577327,7.090712562,21.66641511,-10.20897048,20.54975871,-12.13738703,-3.208727608,-19.51653106,0,7.090712562,0
 01/01  08:00:00,-19.19166667,-19.50953818,7.090712562,21.66640085,-10.31045982,20.51242786,-12.10525035,-3.630118385,-19.52224895,0.000446447,7.090712562,0
 01/01  09:00:00,-19.10833333,-19.46393932,7.090712562,21.66639771,-10.33614803,20.13400225,-12.07499744,-3.856547745,-19.5262507,0.004239572,7.090712562,3780460.297
 01/01  10:00:00,-18.25833333,-18.724312,7.090712562,21.666403,-10.25703823,19.95539347,-12.04633746,-3.66908553,-19.53057732,0.024005117,7.090712562,14586791.9
 01/01  11:00:00,-17.15833333,-17.71109068,7.090712562,21.66650106,-10.04711849,20.09954331,-12.02399511,-3.132560645,-19.53810082,0.01239564,7.090712562,9150893.065
 01/01  12:00:00,-16.35,-17.00630479,7.090712562,21.66642467,-10.19372759,20.13691499,-12.00119506,-2.282345992,-19.54702262,0.000377268,7.090712562,0
 01/01  13:00:00,-15.45833333,-16.24921765,7.090712562,21.6664344,-10.29162078,19.89813017,-11.98942954,-1.588900482,-19.562542,0.001791147,7.090712562,1495039.695
