Time (min),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Inlet Water Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Timestep (min),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu),NOx Production (ng),Energy Added Heat Pump (Btu/min)
5.0,0.0,1.0,1.0,135.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
10.0,0.0,1.0,1.0,135.0,-68.5840542,-0.0,0.0,0.0,0.0,137.0,-68.5840542,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
15.0,0.0,1.0,1.0,126.73782134336963,-64.35529517913119,-0.0,0.0,107281.86969355075,107281.86969355075,128.73782134336963,107217.51439837161,5.0,1.0,0.08333333333333333,833.3360668533333,879215.9999999999,21456.37393871015
20.0,0.0,1.0,1.0,13043.009240585094,-6675.178124128274,-0.0,0.0,0.0,0.0,13045.009240585094,-6675.178124128274,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
25.0,0.0,1.0,1.0,12238.864386949734,-6263.599659752315,-0.0,0.0,0.0,0.0,12240.864386949734,-6263.599659752315,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
30.0,0.0,1.0,1.0,11484.3015366468,-5877.398320778563,-0.0,0.0,0.0,0.0,11486.3015366468,-5877.398320778563,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
35.0,0.0,1.0,1.0,10776.263560051771,-5515.009403148326,-0.0,0.0,0.0,0.0,10778.263560051771,-5515.009403148326,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
40.0,0.0,1.0,1.0,10111.881824190377,-5174.964679403491,-0.0,0.0,0.0,0.0,10113.881824190377,-5174.964679403491,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
45.0,0.0,1.0,1.0,9488.464570402783,-4855.886450127494,-0.0,0.0,0.0,0.0,9490.464570402783,-4855.886450127494,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
50.0,0.0,1.0,1.0,8903.486008618314,-4556.481962162837,-0.0,0.0,0.0,0.0,8905.486008618314,-4556.481962162837,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
55.0,0.0,1.0,1.0,8354.57608405595,-4275.538170990426,-0.0,0.0,0.0,0.0,8356.57608405595,-4275.538170990426,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
60.0,0.0,1.0,1.0,7839.510874890093,-4011.9168260503843,-0.0,0.0,0.0,0.0,7841.510874890093,-4011.9168260503843,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
65.0,0.0,1.0,1.0,7356.203581977541,-3764.549859092401,-0.0,0.0,0.0,0.0,7358.203581977541,-3764.549859092401,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
70.0,0.0,1.0,1.0,6902.696074140332,-3532.4350568714003,-0.0,0.0,0.0,0.0,6904.696074140332,-3532.4350568714003,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
75.0,0.0,1.0,1.0,6477.1509547499445,-3314.6320006563574,-0.0,0.0,0.0,0.0,6479.1509547499445,-3314.6320006563574,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
80.0,0.0,1.0,1.0,6077.844117470457,-3110.2582561010813,-0.0,0.0,0.0,0.0,6079.844117470457,-3110.2582561010813,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
85.0,0.0,1.0,1.0,5703.157761000052,-2918.4857980401357,-0.0,0.0,0.0,0.0,5705.157761000052,-2918.4857980401357,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
90.0,0.0,1.0,1.0,5351.573834509949,-2738.537655724867,-0.0,0.0,0.0,0.0,5353.573834509949,-2738.537655724867,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
95.0,0.0,1.0,1.0,5021.667887224778,-2569.684764907639,-0.0,0.0,0.0,0.0,5023.667887224778,-2569.684764907639,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
100.0,0.0,1.0,1.0,4712.103297225837,-2411.243014020414,-0.0,0.0,0.0,0.0,4714.103297225837,-2411.243014020414,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
105.0,0.0,1.0,1.0,4421.625856095089,-2262.5704724802013,-0.0,0.0,0.0,0.0,4423.625856095089,-2262.5704724802013,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
110.0,0.0,1.0,1.0,4149.058687459438,-2123.064789891783,-0.0,0.0,0.0,0.0,4151.058687459438,-2123.064789891783,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
115.0,0.0,1.0,1.0,3893.2974788476654,-1992.1607556105346,-0.0,0.0,0.0,0.0,3895.2974788476654,-1992.1607556105346,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
120.0,0.0,1.0,1.0,3653.3060075417598,-1869.328008777833,-0.0,0.0,0.0,0.0,3655.3060075417598,-1869.328008777833,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
125.0,0.0,1.0,1.0,3428.111942295533,-1754.0688895512246,-0.0,0.0,0.0,0.0,3430.111942295533,-1754.0688895512246,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
130.0,0.0,1.0,1.0,3216.802903911076,-1645.916422823542,-0.0,0.0,0.0,0.0,3218.802903911076,-1645.916422823542,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
135.0,0.0,1.0,1.0,3018.5227687123893,-1544.4324262619741,-0.0,0.0,0.0,0.0,3020.5227687123893,-1544.4324262619741,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
140.0,0.0,1.0,1.0,2832.4681999396157,-1449.205735001754,-0.0,0.0,0.0,0.0,2834.4681999396157,-1449.205735001754,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
145.0,0.0,1.0,1.0,2657.885393010745,-1359.8505358017703,-0.0,0.0,0.0,0.0,2659.885393010745,-1359.8505358017703,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
150.0,0.0,1.0,1.0,2494.06702146413,-1276.0048039128988,-0.0,0.0,0.0,0.0,2496.06702146413,-1276.0048039128988,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
155.0,0.0,1.0,1.0,2340.3493712082345,-1197.328836325981,-0.0,0.0,0.0,0.0,2342.3493712082345,-1197.328836325981,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
160.0,0.0,1.0,1.0,2196.1096514679484,-1123.503875456872,-0.0,0.0,0.0,0.0,2198.1096514679484,-1123.503875456872,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
165.0,0.0,1.0,1.0,2060.7634715327113,-1054.2308176923852,-0.0,0.0,0.0,0.0,2062.7634715327113,-1054.2308176923852,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
170.0,0.0,1.0,1.0,1933.7624730834243,-989.2290015647731,-0.0,0.0,0.0,0.0,1935.7624730834243,-989.2290015647731,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
175.0,0.0,1.0,1.0,1814.592108505469,-928.2350706450102,-0.0,0.0,0.0,0.0,1816.592108505469,-928.2350706450102,5.0,1.0,0.08333333333333333,0.0,0.0,0.0
