Time (min),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Inlet Water Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Timestep (min),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu),NOx Production (ng),Energy Added Heat Pump (Btu/min)
5.0,0.0,68.0,40.0,115.0,0.0,0.0,0.0,0.0,0.0,1.7466,0.0,5.0,5,0.4166666666666667,0.0,0.0,0.0
10.0,0.0,68.0,40.0,115.0,-63.45867570179999,-0.0,0.0,0.0,0.0,1.7466,-63.45867570179999,5.0,5,0.4166666666666667,0.0,0.0,0.0
15.0,0.0,68.0,40.0,114.88238869312043,-63.299878727712,-0.0,0.0,0.0,0.0,1.746894028267199,-63.299878727712,5.0,5,0.4166666666666667,0.0,0.0,0.0
20.0,0.0,68.0,40.0,114.76507169303888,-63.14147912212725,-0.0,0.0,0.0,0.0,1.7471873207674027,-63.14147912212725,5.0,5,0.4166666666666667,0.0,0.0,0.0
25.0,0.0,68.0,40.0,114.64804826329133,-62.98347589068338,-0.0,0.0,0.0,0.0,1.7474798793417716,-62.98347589068338,5.0,5,0.4166666666666667,0.0,0.0,0.0
30.0,0.0,68.0,40.0,114.53131766925672,-62.825868041506354,-0.0,0.0,0.0,0.0,1.7477717058268583,-62.825868041506354,5.0,5,0.4166666666666667,0.0,0.0,0.0
35.0,0.0,68.0,40.0,114.41487917815228,-62.66865458520412,-0.0,0.0,0.0,0.0,1.7480628020546194,-62.66865458520412,5.0,5,0.4166666666666667,0.0,0.0,0.0
40.0,0.0,68.0,40.0,114.29873205902888,-62.51183453486052,-0.0,0.0,0.0,0.0,1.748353169852428,-62.51183453486052,5.0,5,0.4166666666666667,0.0,0.0,0.0
45.0,0.0,68.0,40.0,114.18287558276656,-62.35540690602894,-0.0,0.0,0.0,0.0,1.7486428110430836,-62.35540690602894,5.0,5,0.4166666666666667,0.0,0.0,0.0
50.0,0.0,68.0,40.0,114.06730902206985,-62.199370716726285,-0.0,0.0,0.0,0.0,1.7489317274448255,-62.199370716726285,5.0,5,0.4166666666666667,0.0,0.0,0.0
55.0,0.0,68.0,40.0,113.95203165146324,-62.04372498742669,-0.0,0.0,0.0,0.0,1.749219920871342,-62.04372498742669,5.0,5,0.4166666666666667,0.0,0.0,0.0
