Hour of Year (hr),Timestep (min),Time (min),Inlet Water Temperature (deg F),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Electricity CO2 Multiplier (lb/kWh),CO2 Production (lb),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu),NOx Production (ng),CO2 Production Gas (lb),CO2 Production Elec (lb),Energy Added Heat Pump (Btu/min)
0.0,0.0,0.0,40.0,0.0,68.0,115.0,0.0,0.0,0.0,0.0,0.0,1.7466,0.0,0.42423,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,60.0,40.0,0.0,68.0,115.0,-235.03213222888886,-0.0,0.0,0.0,0.0,1.7466,-235.03213222888886,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
2.0,60.0,120.0,40.0,0.0,68.0,114.56440256711274,-232.8538472619756,-0.0,0.0,0.0,0.0,1.7476889935822182,-232.8538472619756,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
3.0,60.0,180.0,40.0,0.0,68.0,114.13284226451351,-230.69575070654494,-0.0,0.0,0.0,0.0,1.7487678943387162,-230.69575070654494,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
4.0,60.0,240.0,40.0,0.0,68.0,113.70528167595575,-228.55765545578387,-0.0,0.0,0.0,0.0,1.7498367958101106,-228.55765545578387,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
5.0,60.0,300.0,40.0,0.0,68.0,113.28168373196776,-226.43937613699092,-0.0,0.0,0.0,0.0,1.7508957906700806,-226.43937613699092,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
6.0,60.0,360.0,40.0,0.0,68.0,112.86201170663887,-224.3407290955044,-0.0,0.0,0.0,0.0,1.751944970733403,-224.3407290955044,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
7.0,60.0,420.0,40.0,0.4259985508444743,68.0,112.44622921443525,-222.26153237877978,-256.1842815204758,0.0,0.0,0.0,1.7529844269639119,-478.44581389925554,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
8.0,60.0,480.0,40.0,4.045388429535443,68.0,111.55950038151461,-217.82728198920162,-2403.012887462297,0.0,0.0,0.0,1.7552012490462134,-2620.8401694514987,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
9.0,60.0,540.0,40.0,22.905619378900642,68.0,106.70215922141699,-193.53725539726784,-12682.664522076366,0.0,0.0,0.0,1.7673446019464576,-12876.201777473634,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
