Time (min),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Inlet Water Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Tank Temperature (deg C),Time Step (min),Total Energy Change (Btu),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu)
5,0.0,68,40,125.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,,0.0
10,0.0,68,40,125.0,-110.86049357999998,-0.0,0.0,0.0,0.0,0.0,51.666666666666664,5.0,-110.86049357999998,5.0,0.41666666666666663,0.0
15,0.0,68,40,124.81705296493293,-110.50467606058713,-0.0,0.0,0.0,0.0,0.0,51.56502942496274,5.0,-110.50467606058713,5.0,0.41666666666666663,0.0
20,0.0,68,40,124.63469311614023,-110.15000057205496,-0.0,0.0,0.0,0.0,0.0,51.46371839785568,5.0,-110.15000057205496,5.0,0.41666666666666663,0.0
25,0.0,68,40,124.45291856899055,-109.79646344894454,-0.0,0.0,0.0,0.0,0.0,51.36273253832808,5.0,-109.79646344894454,5.0,0.41666666666666663,0.0
30,0.0,68,40,124.27172744490143,-109.44406103756145,-0.0,0.0,0.0,0.0,0.0,51.26207080272302,5.0,-109.44406103756145,5.0,0.41666666666666663,0.0
35,0.0,68,40,124.0911178713199,-109.09278969593828,-0.0,0.0,0.0,0.0,0.0,51.16173215073327,5.0,-109.09278969593828,5.0,0.41666666666666663,0.0
40,0.0,68,40,123.91108798170312,-108.74264579379671,-0.0,0.0,915.9045519942069,915.9045519942069,1.718837342802111,51.06171554539062,5.0,807.1619062004103,158.5,13.208333333333332,532.8628423333333
45,0.0,68,40,125.24310331728246,-111.33331031236611,-0.0,0.0,914.0985524563804,914.0985524563804,1.7154481037815814,51.80172406515692,5.0,802.7652421440143,158.5,13.208333333333332,532.8628423333333
50,0.0,68,40,126.56786307761287,-113.90986331070211,-0.0,0.0,912.3023903169652,912.3023903169652,1.712077326169185,52.537701709784926,5.0,798.3925270062631,158.5,13.208333333333332,532.8628423333332
55,0.0,68,40,127.88540678429051,-116.47238165518465,-0.0,0.0,910.5160119910048,910.5160119910048,1.7087249094044166,53.26967043571695,5.0,794.0436303358201,158.5,13.208333333333332,532.8628423333332
60,0.0,68,40,129.19577374363485,-119.02094179349758,-0.0,0.0,908.7393641854226,908.7393641854226,1.7053907534745292,53.997652079797135,5.0,789.718422391925,158.5,13.208333333333332,532.8628423333333
65,0.0,68,40,130.49900304786118,-121.55561975690901,-0.0,0.0,906.9723938974333,906.9723938974333,1.7020747589115532,54.72166835992287,5.0,785.4167741405244,158.5,13.208333333333332,532.8628423333333
70,0.0,68,40,131.795133576247,-124.07649116253985,-0.0,0.0,905.2150484129616,905.2150484129616,1.6987768267893273,55.44174087569277,5.0,781.1385572504217,158.5,13.208333333333332,532.8628423333333
75,0.0,68,40,133.08420399629173,-126.58363121561946,-0.0,0.0,903.4672753050685,903.4672753050685,1.6954968587205466,56.157891109050965,5.0,776.883644089449,158.5,13.208333333333332,532.8628423333333
