Time (min),Hot Water Draw Volume (gal),Inlet Water Temperature (deg F),Ambient Temperature (deg F)
5,0.0,0.0,68
10,0.0,0.0,68
15,0.0,0.0,68
20,0.0,0.0,68
25,0.0,0.0,68
30,0.0,0.0,68
35,0.0,0.0,68
40,0.0,0.0,68
45,0.0,0.0,68
50,0.0,0.0,68
55,0.0,0.0,68
60,0.0,0.0,68
65,0.0,0.0,68
70,0.0,0.0,68
75,0.0,0.0,68
80,0.0,0.0,68
85,0.0,0.0,68
90,0.0,0.0,68
95,0.0,0.0,68
100,0.0,0.0,68
105,0.0,0.0,68
110,0.0,0.0,68
115,0.0,0.0,68
120,0.0,0.0,68
125,0.0,0.0,68
130,0.0,0.0,68
135,0.0,0.0,68
140,0.0,0.0,68
145,0.0,0.0,68
150,0.0,0.0,68
155,0.0,0.0,68
160,0.0,0.0,68
165,0.0,0.0,68
170,0.0,0.0,68
175,0.0,0.0,68
180,0.0,0.0,68
185,0.0,0.0,68
190,0.0,0.0,68
195,0.0,0.0,68
200,0.0,0.0,68
205,0.0,0.0,68
210,0.0,0.0,68
215,0.0,0.0,68
220,0.0,0.0,68
225,0.0,0.0,68
230,0.0,0.0,68
235,0.0,0.0,68
240,0.0,0.0,68
245,0.0,0.0,68
250,0.0,0.0,68
255,0.0,0.0,68
260,0.0,0.0,68
265,0.0,0.0,68
270,0.0,0.0,68
275,0.0,0.0,68
280,0.0,0.0,68
285,0.0,0.0,68
290,0.0,0.0,68
295,0.0,0.0,68
300,0.0,0.0,68
305,0.0,0.0,68
310,0.0,0.0,68
315,0.0,0.0,68
320,0.0,0.0,68
325,0.0,0.0,68
330,0.0,0.0,68
335,0.0,0.0,68
340,0.0,0.0,68
345,0.0,0.0,68
350,0.0,0.0,68
355,0.0,0.0,68
360,0.0,0.0,68
365,0.0,0.0,68
370,0.0,0.0,68
375,0.0,0.0,68
380,0.0,0.0,68
385,0.0,0.0,68
390,0.0,0.0,68
395,0.0,0.0,68
400,0.0,0.0,68
405,0.0,0.0,68
410,0.0,0.0,68
415,0.0,0.0,68
420,0.0,0.0,68
425,0.0,0.0,68
430,0.0,0.0,68
435,0.0,0.0,68
440,0.0,0.0,68
445,0.0,0.0,68
450,0.0,0.0,68
455,0.0,0.0,68
460,0.0,0.0,68
465,0.0,0.0,68
470,0.0,0.0,68
475,0.0,0.0,68
480,0.0,0.0,68
485,0.0,0.0,68
490,0.0,0.0,68
495,0.0,0.0,68
500,0.0,0.0,68
505,0.0,0.0,68
510,0.0,0.0,68
515,0.0,0.0,68
520,0.0,0.0,68
525,0.0,0.0,68
530,0.0,0.0,68
535,0.0,0.0,68
540,0.0,0.0,68
545,0.0,0.0,68
550,0.43399386143999996,48.9095,68
555,0.21043482422399998,48.9095,68
560,0.0,0.0,68
565,0.0,0.0,68
570,0.0,0.0,68
575,0.038626945056000006,48.9095,68
580,0.08157891484799999,48.9095,68
585,0.0,0.0,68
590,0.0,0.0,68
595,2.4049551075839997,48.9095,68
600,0.326464798176,48.9095,68
605,1.3228951679999998,48.9095,68
610,2.0487228912,48.9095,68
615,0.0,0.0,68
620,0.05585247460800002,48.9095,68
625,0.0,0.0,68
630,0.0,0.0,68
635,0.0,0.0,68
640,0.0,0.0,68
645,0.0,0.0,68
650,0.0,0.0,68
655,0.0,0.0,68
660,0.0,0.0,68
665,0.0,0.0,68
670,0.0,0.0,68
675,0.0,0.0,68
680,0.05585247460800002,48.9095,68
685,0.09022896432,48.9095,68
690,0.17605833451199998,48.9095,68
695,0.034376489712000004,48.9095,68
700,0.0,0.0,68
705,0.0,0.0,68
710,0.0,0.0,68
