Time (min),Hot Water Draw Volume (gal),Inlet Water Temperature (deg F),Ambient Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Timestep (min)
5,0.0,0.0,68,135,0,0,0,0,0,0,0,5
10,0.0,0.0,68,135,0,0,0,0,0,0,0,5
15,0.0,0.0,68,0,0,0,0,0,0,0,0,5
20,0.0,0.0,68,0,0,0,0,0,0,0,0,5
25,0.0,0.0,68,0,0,0,0,0,0,0,0,5
30,0.0,0.0,68,0,0,0,0,0,0,0,0,5
35,0.0,0.0,68,0,0,0,0,0,0,0,0,5
40,0.0,0.0,68,0,0,0,0,0,0,0,0,5
45,0.0,0.0,68,0,0,0,0,0,0,0,0,5
50,0.0,0.0,68,0,0,0,0,0,0,0,0,5
55,0.0,0.0,68,0,0,0,0,0,0,0,0,5
60,0.0,0.0,68,0,0,0,0,0,0,0,0,5
65,0.0,0.0,68,0,0,0,0,0,0,0,0,5
70,0.0,0.0,68,0,0,0,0,0,0,0,0,5
75,0.0,0.0,68,0,0,0,0,0,0,0,0,5
80,0.0,0.0,68,0,0,0,0,0,0,0,0,5
85,0.0,0.0,68,0,0,0,0,0,0,0,0,5
90,0.0,0.0,68,0,0,0,0,0,0,0,0,5
95,0.0,0.0,68,0,0,0,0,0,0,0,0,5
100,0.0,0.0,68,0,0,0,0,0,0,0,0,5
105,0.0,0.0,68,0,0,0,0,0,0,0,0,5
110,0.0,0.0,68,0,0,0,0,0,0,0,0,5
115,0.0,0.0,68,0,0,0,0,0,0,0,0,5
120,0.0,0.0,68,0,0,0,0,0,0,0,0,5
125,0.0,0.0,68,0,0,0,0,0,0,0,0,5
130,0.0,0.0,68,0,0,0,0,0,0,0,0,5
135,0.0,0.0,68,0,0,0,0,0,0,0,0,5
140,0.0,0.0,68,0,0,0,0,0,0,0,0,5
145,0.0,0.0,68,0,0,0,0,0,0,0,0,5
150,0.0,0.0,68,0,0,0,0,0,0,0,0,5
155,0.0,0.0,68,0,0,0,0,0,0,0,0,5
160,0.0,0.0,68,0,0,0,0,0,0,0,0,5
165,0.0,0.0,68,0,0,0,0,0,0,0,0,5
170,0.0,0.0,68,0,0,0,0,0,0,0,0,5
175,0.0,0.0,68,0,0,0,0,0,0,0,0,5
180,0.0,0.0,68,0,0,0,0,0,0,0,0,5
185,0.0,0.0,68,0,0,0,0,0,0,0,0,5
190,0.0,0.0,68,0,0,0,0,0,0,0,0,5
195,0.0,0.0,68,0,0,0,0,0,0,0,0,5
200,0.0,0.0,68,0,0,0,0,0,0,0,0,5
205,0.0,0.0,68,0,0,0,0,0,0,0,0,5
210,0.0,0.0,68,0,0,0,0,0,0,0,0,5
215,0.0,0.0,68,0,0,0,0,0,0,0,0,5
220,0.0,0.0,68,0,0,0,0,0,0,0,0,5
225,0.0,0.0,68,0,0,0,0,0,0,0,0,5
230,0.0,0.0,68,0,0,0,0,0,0,0,0,5
235,0.0,0.0,68,0,0,0,0,0,0,0,0,5
240,0.0,0.0,68,0,0,0,0,0,0,0,0,5
245,0.0,0.0,68,0,0,0,0,0,0,0,0,5
250,0.0,0.0,68,0,0,0,0,0,0,0,0,5
255,0.0,0.0,68,0,0,0,0,0,0,0,0,5
260,0.0,0.0,68,0,0,0,0,0,0,0,0,5
265,0.0,0.0,68,0,0,0,0,0,0,0,0,5
270,0.0,0.0,68,0,0,0,0,0,0,0,0,5
275,0.0,0.0,68,0,0,0,0,0,0,0,0,5
280,0.0,0.0,68,0,0,0,0,0,0,0,0,5
285,0.0,0.0,68,0,0,0,0,0,0,0,0,5
290,0.0,0.0,68,0,0,0,0,0,0,0,0,5
295,0.0,0.0,68,0,0,0,0,0,0,0,0,5
300,0.0,0.0,68,0,0,0,0,0,0,0,0,5
305,0.0,0.0,68,0,0,0,0,0,0,0,0,5
310,0.0,0.0,68,0,0,0,0,0,0,0,0,5
315,0.0,0.0,68,0,0,0,0,0,0,0,0,5
320,0.0,0.0,68,0,0,0,0,0,0,0,0,5
325,0.0,0.0,68,0,0,0,0,0,0,0,0,5
330,0.0,0.0,68,0,0,0,0,0,0,0,0,5
335,0.0,0.0,68,0,0,0,0,0,0,0,0,5
340,0.0,0.0,68,0,0,0,0,0,0,0,0,5
345,0.0,0.0,68,0,0,0,0,0,0,0,0,5
350,0.0,0.0,68,0,0,0,0,0,0,0,0,5
355,0.0,0.0,68,0,0,0,0,0,0,0,0,5
360,0.0,0.0,68,0,0,0,0,0,0,0,0,5
365,0.0,0.0,68,0,0,0,0,0,0,0,0,5
370,0.0,0.0,68,0,0,0,0,0,0,0,0,5
375,0.0,0.0,68,0,0,0,0,0,0,0,0,5
380,0.0,0.0,68,0,0,0,0,0,0,0,0,5
385,0.0,0.0,68,0,0,0,0,0,0,0,0,5
390,0.0,0.0,68,0,0,0,0,0,0,0,0,5
395,0.0,0.0,68,0,0,0,0,0,0,0,0,5
400,0.0,0.0,68,0,0,0,0,0,0,0,0,5
405,0.0,0.0,68,0,0,0,0,0,0,0,0,5
410,0.0,0.0,68,0,0,0,0,0,0,0,0,5
415,0.0,0.0,68,0,0,0,0,0,0,0,0,5
420,0.0,0.0,68,0,0,0,0,0,0,0,0,5
425,0.0,0.0,68,0,0,0,0,0,0,0,0,5
430,0.0,0.0,68,0,0,0,0,0,0,0,0,5
435,0.0,0.0,68,0,0,0,0,0,0,0,0,5
440,0.0,0.0,68,0,0,0,0,0,0,0,0,5
445,0.0,0.0,68,0,0,0,0,0,0,0,0,5
450,0.0,0.0,68,0,0,0,0,0,0,0,0,5
455,0.0,0.0,68,0,0,0,0,0,0,0,0,5
460,0.0,0.0,68,0,0,0,0,0,0,0,0,5
465,0.0,0.0,68,0,0,0,0,0,0,0,0,5
470,0.0,0.0,68,0,0,0,0,0,0,0,0,5
475,0.0,0.0,68,0,0,0,0,0,0,0,0,5
480,0.0,0.0,68,0,0,0,0,0,0,0,0,5
485,0.0,0.0,68,0,0,0,0,0,0,0,0,5
490,0.0,0.0,68,0,0,0,0,0,0,0,0,5
495,0.0,0.0,68,0,0,0,0,0,0,0,0,5
500,0.0,0.0,68,0,0,0,0,0,0,0,0,5
